episode,survival_time,engagement,score,exploration_rate
1,15.03899999999997,1,8,0.985074875
2,0.016,1,8,0.985074875
3,0.016,1,8,0.985074875
4,0.016,1,8,0.985074875
5,0.016,1,8,0.985074875
6,0.016,1,8,0.985074875
7,0.016,1,8,0.985074875
8,0.016,1,8,0.985074875
9,0.016,1,8,0.985074875
10,0.016,1,8,0.985074875
11,0.016,1,8,0.985074875
12,0.016,1,8,0.985074875
13,0.016,1,8,0.985074875
14,0.016,1,8,0.985074875
15,0.016,1,8,0.985074875
16,0.016,1,8,0.985074875
17,0.016,1,8,0.985074875
18,0.016,1,8,0.985074875
19,0.016,1,8,0.985074875
20,0.016,1,8,0.985074875
21,0.016,1,8,0.985074875
22,0.016,1,8,0.985074875
23,0.016,1,8,0.985074875
24,0.016,1,8,0.985074875
25,0.016,1,8,0.985074875
26,0.016,1,8,0.985074875
27,0.016,1,8,0.985074875
28,0.016,1,8,0.985074875
29,0.016,1,8,0.985074875
30,0.016,1,8,0.985074875
31,0.016,1,8,0.985074875
32,0.016,1,8,0.985074875
33,0.016,1,8,0.985074875
34,0.016,1,8,0.985074875
35,0.016,1,8,0.985074875
36,0.016,1,8,0.985074875
37,0.016,1,8,0.985074875
38,0.016,1,8,0.985074875
39,0.016,1,8,0.985074875
40,0.016,1,8,0.985074875
41,0.016,1,8,0.985074875
42,0.016,1,8,0.985074875
43,0.016,1,8,0.985074875
44,0.016,1,8,0.985074875
45,0.016,1,8,0.985074875
46,0.016,1,8,0.985074875
47,0.016,1,8,0.985074875
48,0.016,1,8,0.985074875
49,0.016,1,8,0.985074875
50,0.016,1,8,0.985074875
51,0.016,1,8,0.985074875
52,0.016,1,8,0.985074875
53,0.016,1,8,0.985074875
54,0.016,1,8,0.985074875
55,0.016,1,8,0.985074875
56,0.016,1,8,0.985074875
57,0.016,1,8,0.985074875
58,0.016,1,8,0.985074875
59,0.016,1,8,0.985074875
60,0.016,1,8,0.985074875
61,0.016,1,8,0.985074875
62,0.016,1,8,0.985074875
63,0.016,1,8,0.985074875
64,0.016,1,8,0.985074875
65,0.016,1,8,0.985074875
66,0.016,1,8,0.985074875
67,0.016,1,8,0.985074875
68,0.016,1,8,0.985074875
69,0.016,1,8,0.985074875
70,0.016,1,8,0.985074875
71,0.016,1,8,0.985074875
72,0.016,1,8,0.985074875
73,0.016,1,8,0.985074875
74,0.016,1,8,0.985074875
75,0.016,1,8,0.985074875
76,0.016,1,8,0.985074875
77,0.016,1,8,0.985074875
78,0.016,1,8,0.985074875
79,0.016,1,8,0.985074875
80,0.016,1,8,0.985074875
81,0.016,1,8,0.985074875
82,0.016,1,8,0.985074875
83,0.016,1,8,0.985074875
84,0.016,1,8,0.985074875
85,0.016,1,8,0.985074875
86,0.016,1,8,0.985074875
87,0.016,1,8,0.985074875
88,0.016,1,8,0.985074875
89,0.016,1,8,0.985074875
90,0.016,1,8,0.985074875
91,0.016,1,8,0.985074875
92,0.016,1,8,0.985074875
93,0.016,1,8,0.985074875
94,0.016,1,8,0.985074875
95,0.016,1,8,0.985074875
96,0.016,1,8,0.985074875
97,0.016,1,8,0.985074875
98,0.016,1,8,0.985074875
99,0.016,1,8,0.985074875
100,0.016,1,8,0.985074875
101,0.016,1,8,0.985074875
102,0.016,1,8,0.985074875
103,0.016,1,8,0.985074875
104,0.016,1,8,0.985074875
105,0.016,1,8,0.985074875
106,0.016,1,8,0.985074875
107,0.016,1,8,0.985074875
108,0.016,1,8,0.985074875
109,0.016,1,8,0.985074875
110,0.016,1,8,0.985074875
111,0.016,1,8,0.985074875
112,0.016,1,8,0.985074875
113,0.016,1,8,0.985074875
114,0.016,1,8,0.985074875
115,0.016,1,8,0.985074875
116,0.016,1,8,0.985074875
117,0.016,1,8,0.985074875
118,0.016,1,8,0.985074875
119,0.016,1,8,0.985074875
120,0.016,1,8,0.985074875
121,0.016,1,8,0.985074875
122,0.016,1,8,0.985074875
123,0.016,1,8,0.985074875
124,0.016,1,8,0.985074875
125,0.016,1,8,0.985074875
126,0.016,1,8,0.985074875
127,0.016,1,8,0.985074875
128,0.016,1,8,0.985074875
129,0.016,1,8,0.985074875
130,0.016,1,8,0.985074875
131,0.016,1,8,0.985074875
132,0.016,1,8,0.985074875
133,0.016,1,8,0.985074875
134,0.016,1,8,0.985074875
135,0.016,1,8,0.985074875
136,0.016,1,8,0.985074875
137,0.016,1,8,0.985074875
138,0.016,1,8,0.985074875
139,0.016,1,8,0.985074875
140,0.016,1,8,0.985074875
141,0.016,1,8,0.985074875
142,0.016,1,8,0.985074875
143,0.016,1,8,0.985074875
144,0.016,1,8,0.985074875
145,0.016,1,8,0.985074875
146,0.016,1,8,0.985074875
147,0.016,1,8,0.985074875
148,0.016,1,8,0.985074875
149,0.016,1,8,0.985074875
150,0.016,1,8,0.985074875
151,0.016,1,8,0.985074875
152,0.016,1,8,0.985074875
153,0.016,1,8,0.985074875
154,0.016,1,8,0.985074875
155,0.016,1,8,0.985074875
156,0.016,1,8,0.985074875
157,0.016,1,8,0.985074875
158,0.016,1,8,0.985074875
159,0.016,1,8,0.985074875
160,0.016,1,8,0.985074875
161,0.016,1,8,0.985074875
162,0.016,1,8,0.985074875
163,0.016,1,8,0.985074875
164,0.016,1,8,0.985074875
165,0.016,1,8,0.985074875
166,0.016,1,8,0.985074875
167,0.016,1,8,0.985074875
168,0.016,1,8,0.985074875
169,0.016,1,8,0.985074875
170,0.016,1,8,0.985074875
171,0.016,1,8,0.985074875
172,0.016,1,8,0.985074875
173,0.016,1,8,0.985074875
174,0.016,1,8,0.985074875
175,0.016,1,8,0.985074875
176,0.016,1,8,0.985074875
177,0.016,1,8,0.985074875
178,0.016,1,8,0.985074875
179,0.016,1,8,0.985074875
180,0.016,1,8,0.985074875
181,0.016,1,8,0.985074875
182,0.016,1,8,0.985074875
183,0.016,1,8,0.985074875
184,0.016,1,8,0.985074875
185,0.016,1,8,0.985074875
186,0.016,1,8,0.985074875
187,0.016,1,8,0.985074875
188,0.016,1,8,0.985074875
189,0.016,1,8,0.985074875
190,0.016,1,8,0.985074875
191,0.016,1,8,0.985074875
192,0.016,1,8,0.985074875
193,0.016,1,8,0.985074875
194,0.016,1,8,0.985074875
195,0.016,1,8,0.985074875
196,0.016,1,8,0.985074875
197,0.016,1,8,0.985074875
198,0.016,1,8,0.985074875
199,0.016,1,8,0.985074875
200,0.016,1,8,0.985074875
201,0.016,1,8,0.985074875
202,0.016,1,8,0.985074875
203,0.016,1,8,0.985074875
204,0.016,1,8,0.985074875
205,0.016,1,8,0.985074875
206,0.016,1,8,0.985074875
207,0.016,1,8,0.985074875
208,0.016,1,8,0.985074875
209,0.016,1,8,0.985074875
210,0.016,1,8,0.985074875
211,0.016,1,8,0.985074875
212,0.016,1,8,0.985074875
213,0.016,1,8,0.985074875
214,0.016,1,8,0.985074875
215,0.016,1,8,0.985074875
216,0.016,1,8,0.985074875
217,0.016,1,8,0.985074875
218,0.016,1,8,0.985074875
219,0.016,1,8,0.985074875
220,0.016,1,8,0.985074875
221,0.016,1,8,0.985074875
222,0.016,1,8,0.985074875
223,0.016,1,8,0.985074875
224,0.016,1,8,0.985074875
225,0.016,1,8,0.985074875
226,0.016,1,8,0.985074875
227,0.016,1,8,0.985074875
228,0.016,1,8,0.985074875
229,0.016,1,8,0.985074875
230,0.016,1,8,0.985074875
231,0.016,1,8,0.985074875
232,0.016,1,8,0.985074875
233,0.016,1,8,0.985074875
234,0.016,1,8,0.985074875
235,0.016,1,8,0.985074875
236,0.016,1,8,0.985074875
237,0.016,1,8,0.985074875
238,0.016,1,8,0.985074875
239,0.016,1,8,0.985074875
240,0.016,1,8,0.985074875
241,0.016,1,8,0.985074875
242,0.016,1,8,0.985074875
243,0.016,1,8,0.985074875
244,0.016,1,8,0.985074875
245,0.016,1,8,0.985074875
246,0.016,1,8,0.985074875
247,0.016,1,8,0.985074875
248,0.016,1,8,0.985074875
249,0.016,1,8,0.985074875
250,0.016,1,8,0.985074875
251,0.016,1,8,0.985074875
252,0.016,1,8,0.985074875
253,0.016,1,8,0.985074875
254,0.016,1,8,0.985074875
255,0.016,1,8,0.985074875
256,0.016,1,8,0.985074875
257,0.016,1,8,0.985074875
258,0.016,1,8,0.985074875
259,0.016,1,8,0.985074875
260,0.016,1,8,0.985074875
261,0.016,1,8,0.985074875
262,0.016,1,8,0.985074875
263,0.016,1,8,0.985074875
264,0.016,1,8,0.985074875
265,0.016,1,8,0.985074875
